дата,направление,выход
22.01.2018,л,"70,15"
19.01.2018,л,"69,17"
18.01.2018,ш,"68,76"
17.01.2018,ш,"69,17"
16.01.2018,л,"69,31"
15.01.2018,ш,"69,22"
12.01.2018,л,"70,15"
11.01.2018,л,"69,86"
10.01.2018,ш,"69,15"
09.01.2018,ш,"69,06"
05.01.2018,л,"68,78"
04.01.2018,ш,"67,67"
